Fig  3d,,,"Note from author: The {pH,potential} ranges are included only when the calculated NO2 binding energy is exothermic (favorable for adsorption)."
10.9,0.35,-68.4476,
11,0.35,-69.0216,
11.1,0.35,-69.5955,
11.2,0.35,-70.1695,
11.3,0.35,-70.7435,
11.4,0.35,-71.3174,
11.5,0.35,-71.8914,
11.6,0.35,-72.4654,
11.7,0.35,-73.0393,
11.8,0.35,-73.6133,
11.9,0.35,-74.1873,
12,0.35,-74.7612,
4.9,0.4,-37.6983,
5,0.4,-38.2722,
5.1,0.4,-38.8462,
5.2,0.4,-39.4202,
5.3,0.4,-39.9941,
5.4,0.4,-40.5681,
5.5,0.4,-41.1421,
5.6,0.4,-41.716,
5.7,0.4,-42.29,
5.8,0.4,-42.864,
5.9,0.4,-43.4379,
6,0.4,-44.0119,
6.1,0.4,-44.5859,
6.2,0.4,-45.1598,
6.3,0.4,-45.7338,
6.4,0.4,-46.3078,
6.5,0.4,-46.8817,
6.6,0.4,-47.4557,
6.7,0.4,-48.0297,
6.8,0.4,-48.6036,
6.9,0.4,-49.1776,
7,0.4,-49.7516,
7.1,0.4,-50.3255,
7.2,0.4,-50.8995,
7.3,0.4,-51.4735,
7.4,0.4,-52.0474,
7.5,0.4,-52.6214,
7.6,0.4,-53.1954,
7.7,0.4,-53.7693,
7.8,0.4,-54.3433,
7.9,0.4,-54.9173,
8,0.4,-55.4912,
8.1,0.4,-56.0652,
8.2,0.4,-56.6392,
8.3,0.4,-57.2131,
8.4,0.4,-57.7871,
8.5,0.4,-58.3611,
8.6,0.4,-58.935,
8.7,0.4,-59.509,
8.8,0.4,-60.083,
8.9,0.4,-60.6569,
9,0.4,-61.2309,
9.1,0.4,-61.8049,
9.2,0.4,-62.3789,
9.3,0.4,-62.9528,
9.4,0.4,-63.5268,
9.5,0.4,-64.1008,
9.6,0.4,-64.6747,
9.7,0.4,-65.2487,
9.8,0.4,-65.8227,
9.9,0.4,-66.3966,
10,0.4,-66.9706,
10.1,0.4,-67.5446,
10.2,0.4,-68.1185,
10.3,0.4,-68.6925,
10.4,0.4,-69.2665,
10.5,0.4,-69.8404,
10.6,0.4,-70.4144,
10.7,0.4,-70.9884,
10.8,0.4,-71.5623,
10.9,0.4,-72.1363,
11,0.4,-72.7103,
11.1,0.4,-73.2842,
11.2,0.4,-73.8582,
11.3,0.4,-74.4322,
11.4,0.4,-75.0061,
11.5,0.4,-75.5801,
11.6,0.4,-76.1541,
11.7,0.4,-76.728,
11.8,0.4,-77.302,
11.9,0.4,-77.876,
12,0.4,-78.4499,
4.9,0.45,-41.387,
5,0.45,-41.9609,
5.1,0.45,-42.5349,
5.2,0.45,-43.1089,
5.3,0.45,-43.6828,
5.4,0.45,-44.2568,
5.5,0.45,-44.8308,
5.6,0.45,-45.4047,
5.7,0.45,-45.9787,
5.8,0.45,-46.5527,
5.9,0.45,-47.1266,
6,0.45,-47.7006,
6.1,0.45,-48.2746,
6.2,0.45,-48.8485,
6.3,0.45,-49.4225,
6.4,0.45,-49.9965,
6.5,0.45,-50.5704,
6.6,0.45,-51.1444,
6.7,0.45,-51.7184,
6.8,0.45,-52.2923,
6.9,0.45,-52.8663,
7,0.45,-53.4403,
7.1,0.45,-54.0142,
7.2,0.45,-54.5882,
7.3,0.45,-55.1622,
7.4,0.45,-55.7361,
7.5,0.45,-56.3101,
7.6,0.45,-56.8841,
7.7,0.45,-57.458,
7.8,0.45,-58.032,
7.9,0.45,-58.606,
8,0.45,-59.1799,
8.1,0.45,-59.7539,
8.2,0.45,-60.3279,
8.3,0.45,-60.9018,
8.4,0.45,-61.4758,
8.5,0.45,-62.0498,
8.6,0.45,-62.6237,
8.7,0.45,-63.1977,
8.8,0.45,-63.7717,
8.9,0.45,-64.3456,
9,0.45,-64.9196,
9.1,0.45,-65.4936,
9.2,0.45,-66.0675,
9.3,0.45,-66.6415,
9.4,0.45,-67.2155,
9.5,0.45,-67.7895,
9.6,0.45,-68.3634,
9.7,0.45,-68.9374,
9.8,0.45,-69.5114,
9.9,0.45,-70.0853,
10,0.45,-70.6593,
10.1,0.45,-71.2333,
10.2,0.45,-71.8072,
10.3,0.45,-72.3812,
10.4,0.45,-72.9552,
10.5,0.45,-73.5291,
10.6,0.45,-74.1031,
10.7,0.45,-74.6771,
10.8,0.45,-75.251,
10.9,0.45,-75.825,
11,0.45,-76.399,
11.1,0.45,-76.9729,
11.2,0.45,-77.5469,
11.3,0.45,-78.1209,
11.4,0.45,-78.6948,
11.5,0.45,-79.2688,
11.6,0.45,-79.8428,
11.7,0.45,-80.4167,
11.8,0.45,-80.9907,
11.9,0.45,-81.5647,
12,0.45,-82.1386,
4.9,0.5,-45.0757,
5,0.5,-45.6496,
5.1,0.5,-46.2236,
5.2,0.5,-46.7976,
5.3,0.5,-47.3715,
5.4,0.5,-47.9455,
5.5,0.5,-48.5195,
5.6,0.5,-49.0934,
5.7,0.5,-49.6674,
5.8,0.5,-50.2414,
5.9,0.5,-50.8153,
6,0.5,-51.3893,
6.1,0.5,-51.9633,
6.2,0.5,-52.5372,
6.3,0.5,-53.1112,
6.4,0.5,-53.6852,
6.5,0.5,-54.2591,
6.6,0.5,-54.8331,
6.7,0.5,-55.4071,
6.8,0.5,-55.981,
6.9,0.5,-56.555,
7,0.5,-57.129,
7.1,0.5,-57.7029,
7.2,0.5,-58.2769,
7.3,0.5,-58.8509,
7.4,0.5,-59.4248,
7.5,0.5,-59.9988,
7.6,0.5,-60.5728,
7.7,0.5,-61.1467,
7.8,0.5,-61.7207,
7.9,0.5,-62.2947,
8,0.5,-62.8686,
8.1,0.5,-63.4426,
8.2,0.5,-64.0166,
8.3,0.5,-64.5905,
8.4,0.5,-65.1645,
8.5,0.5,-65.7385,
8.6,0.5,-66.3124,
8.7,0.5,-66.8864,
8.8,0.5,-67.4604,
8.9,0.5,-68.0343,
9,0.5,-68.6083,
9.1,0.5,-69.1823,
9.2,0.5,-69.7562,
9.3,0.5,-70.3302,
9.4,0.5,-70.9042,
9.5,0.5,-71.4781,
9.6,0.5,-72.0521,
9.7,0.5,-72.6261,
9.8,0.5,-73.2001,
9.9,0.5,-73.774,
10,0.5,-74.348,
10.1,0.5,-74.922,
10.2,0.5,-75.4959,
10.3,0.5,-76.0699,
10.4,0.5,-76.6439,
10.5,0.5,-77.2178,
10.6,0.5,-77.7918,
10.7,0.5,-78.3658,
10.8,0.5,-78.9397,
10.9,0.5,-79.5137,
11,0.5,-80.0877,
11.1,0.5,-80.6616,
11.2,0.5,-81.2356,
11.3,0.5,-81.8096,
11.4,0.5,-82.3835,
11.5,0.5,-82.9575,
11.6,0.5,-83.5315,
11.7,0.5,-84.1054,
11.8,0.5,-84.6794,
11.9,0.5,-85.2534,
12,0.5,-85.8273,
4.9,0.55,-48.7644,
5,0.55,-49.3383,
5.1,0.55,-49.9123,
5.2,0.55,-50.4863,
5.3,0.55,-51.0602,
5.4,0.55,-51.6342,
5.5,0.55,-52.2082,
5.6,0.55,-52.7821,
5.7,0.55,-53.3561,
5.8,0.55,-53.9301,
5.9,0.55,-54.504,
6,0.55,-55.078,
6.1,0.55,-55.652,
6.2,0.55,-56.2259,
6.3,0.55,-56.7999,
6.4,0.55,-57.3739,
6.5,0.55,-57.9478,
6.6,0.55,-58.5218,
6.7,0.55,-59.0958,
6.8,0.55,-59.6697,
6.9,0.55,-60.2437,
7,0.55,-60.8177,
7.1,0.55,-61.3916,
7.2,0.55,-61.9656,
7.3,0.55,-62.5396,
7.4,0.55,-63.1135,
7.5,0.55,-63.6875,
7.6,0.55,-64.2615,
7.7,0.55,-64.8354,
7.8,0.55,-65.4094,
7.9,0.55,-65.9834,
8,0.55,-66.5573,
8.1,0.55,-67.1313,
8.2,0.55,-67.7053,
8.3,0.55,-68.2792,
8.4,0.55,-68.8532,
8.5,0.55,-69.4272,
8.6,0.55,-70.0011,
8.7,0.55,-70.5751,
8.8,0.55,-71.1491,
8.9,0.55,-71.723,
9,0.55,-72.297,
9.1,0.55,-72.871,
9.2,0.55,-73.4449,
9.3,0.55,-74.0189,
9.4,0.55,-74.5929,
9.5,0.55,-75.1668,
9.6,0.55,-75.7408,
9.7,0.55,-76.3148,
9.8,0.55,-76.8887,
9.9,0.55,-77.4627,
10,0.55,-78.0367,
10.1,0.55,-78.6107,
10.2,0.55,-79.1846,
10.3,0.55,-79.7586,
10.4,0.55,-80.3326,
10.5,0.55,-80.9065,
10.6,0.55,-81.4805,
10.7,0.55,-82.0545,
10.8,0.55,-82.6284,
10.9,0.55,-83.2024,
11,0.55,-83.7764,
11.1,0.55,-84.3503,
11.2,0.55,-84.9243,
11.3,0.55,-85.4983,
11.4,0.55,-86.0722,
11.5,0.55,-86.6462,
11.6,0.55,-87.2202,
11.7,0.55,-87.7941,
11.8,0.55,-88.3681,
11.9,0.55,-88.9421,
12,0.55,-89.516,
4.9,0.6,-52.453,
5,0.6,-53.027,
5.1,0.6,-53.601,
5.2,0.6,-54.175,
5.3,0.6,-54.7489,
5.4,0.6,-55.3229,
5.5,0.6,-55.8969,
5.6,0.6,-56.4708,
5.7,0.6,-57.0448,
5.8,0.6,-57.6188,
5.9,0.6,-58.1927,
6,0.6,-58.7667,
6.1,0.6,-59.3407,
6.2,0.6,-59.9146,
6.3,0.6,-60.4886,
6.4,0.6,-61.0626,
6.5,0.6,-61.6365,
6.6,0.6,-62.2105,
6.7,0.6,-62.7845,
6.8,0.6,-63.3584,
6.9,0.6,-63.9324,
7,0.6,-64.5064,
7.1,0.6,-65.0803,
7.2,0.6,-65.6543,
7.3,0.6,-66.2283,
7.4,0.6,-66.8022,
7.5,0.6,-67.3762,
7.6,0.6,-67.9502,
7.7,0.6,-68.5241,
7.8,0.6,-69.0981,
7.9,0.6,-69.6721,
8,0.6,-70.246,
8.1,0.6,-70.82,
8.2,0.6,-71.394,
8.3,0.6,-71.9679,
8.4,0.6,-72.5419,
8.5,0.6,-73.1159,
8.6,0.6,-73.6898,
8.7,0.6,-74.2638,
8.8,0.6,-74.8378,
8.9,0.6,-75.4117,
9,0.6,-75.9857,
9.1,0.6,-76.5597,
9.2,0.6,-77.1336,
9.3,0.6,-77.7076,
9.4,0.6,-78.2816,
9.5,0.6,-78.8555,
9.6,0.6,-79.4295,
9.7,0.6,-80.0035,
9.8,0.6,-80.5774,
9.9,0.6,-81.1514,
10,0.6,-81.7254,
10.1,0.6,-82.2993,
10.2,0.6,-82.8733,
10.3,0.6,-83.4473,
10.4,0.6,-84.0213,
10.5,0.6,-84.5952,
10.6,0.6,-85.1692,
10.7,0.6,-85.7432,
10.8,0.6,-86.3171,
10.9,0.6,-86.8911,
11,0.6,-87.4651,
11.1,0.6,-88.039,
11.2,0.6,-88.613,
11.3,0.6,-89.187,
11.4,0.6,-89.7609,
11.5,0.6,-90.3349,
11.6,0.6,-90.9089,
11.7,0.6,-91.4828,
11.8,0.6,-92.0568,
11.9,0.6,-92.6308,
12,0.6,-93.2047,
4.9,0.65,-56.1417,
5,0.65,-56.7157,
5.1,0.65,-57.2897,
5.2,0.65,-57.8636,
5.3,0.65,-58.4376,
5.4,0.65,-59.0116,
5.5,0.65,-59.5856,
5.6,0.65,-60.1595,
5.7,0.65,-60.7335,
5.8,0.65,-61.3075,
5.9,0.65,-61.8814,
6,0.65,-62.4554,
6.1,0.65,-63.0294,
6.2,0.65,-63.6033,
6.3,0.65,-64.1773,
6.4,0.65,-64.7513,
6.5,0.65,-65.3252,
6.6,0.65,-65.8992,
6.7,0.65,-66.4732,
6.8,0.65,-67.0471,
6.9,0.65,-67.6211,
7,0.65,-68.1951,
7.1,0.65,-68.769,
7.2,0.65,-69.343,
7.3,0.65,-69.917,
7.4,0.65,-70.4909,
7.5,0.65,-71.0649,
7.6,0.65,-71.6389,
7.7,0.65,-72.2128,
7.8,0.65,-72.7868,
7.9,0.65,-73.3608,
8,0.65,-73.9347,
8.1,0.65,-74.5087,
8.2,0.65,-75.0827,
8.3,0.65,-75.6566,
8.4,0.65,-76.2306,
8.5,0.65,-76.8046,
8.6,0.65,-77.3785,
8.7,0.65,-77.9525,
8.8,0.65,-78.5265,
8.9,0.65,-79.1004,
9,0.65,-79.6744,
9.1,0.65,-80.2484,
9.2,0.65,-80.8223,
9.3,0.65,-81.3963,
9.4,0.65,-81.9703,
9.5,0.65,-82.5442,
9.6,0.65,-83.1182,
9.7,0.65,-83.6922,
9.8,0.65,-84.2661,
9.9,0.65,-84.8401,
10,0.65,-85.4141,
10.1,0.65,-85.988,
10.2,0.65,-86.562,
10.3,0.65,-87.136,
10.4,0.65,-87.7099,
10.5,0.65,-88.2839,
10.6,0.65,-88.8579,
10.7,0.65,-89.4319,
10.8,0.65,-90.0058,
10.9,0.65,-90.5798,
11,0.65,-91.1538,
11.1,0.65,-91.7277,
11.2,0.65,-92.3017,
11.3,0.65,-92.8757,
11.4,0.65,-93.4496,
11.5,0.65,-94.0236,
11.6,0.65,-94.5976,
11.7,0.65,-95.1715,
11.8,0.65,-95.7455,
11.9,0.65,-96.3195,
12,0.65,-96.8934,
4.9,0.7,-59.8304,
5,0.7,-60.4044,
5.1,0.7,-60.9784,
5.2,0.7,-61.5523,
5.3,0.7,-62.1263,
5.4,0.7,-62.7003,
5.5,0.7,-63.2742,
5.6,0.7,-63.8482,
5.7,0.7,-64.4222,
5.8,0.7,-64.9962,
5.9,0.7,-65.5701,
6,0.7,-66.1441,
6.1,0.7,-66.7181,
6.2,0.7,-67.292,
6.3,0.7,-67.866,
6.4,0.7,-68.44,
6.5,0.7,-69.0139,
6.6,0.7,-69.5879,
6.7,0.7,-70.1619,
6.8,0.7,-70.7358,
6.9,0.7,-71.3098,
7,0.7,-71.8838,
7.1,0.7,-72.4577,
7.2,0.7,-73.0317,
7.3,0.7,-73.6057,
7.4,0.7,-74.1796,
7.5,0.7,-74.7536,
7.6,0.7,-75.3276,
7.7,0.7,-75.9015,
7.8,0.7,-76.4755,
7.9,0.7,-77.0495,
8,0.7,-77.6234,
8.1,0.7,-78.1974,
8.2,0.7,-78.7714,
8.3,0.7,-79.3453,
8.4,0.7,-79.9193,
8.5,0.7,-80.4933,
8.6,0.7,-81.0672,
8.7,0.7,-81.6412,
8.8,0.7,-82.2152,
8.9,0.7,-82.7891,
9,0.7,-83.3631,
9.1,0.7,-83.9371,
9.2,0.7,-84.511,
9.3,0.7,-85.085,
9.4,0.7,-85.659,
9.5,0.7,-86.2329,
9.6,0.7,-86.8069,
9.7,0.7,-87.3809,
9.8,0.7,-87.9548,
9.9,0.7,-88.5288,
10,0.7,-89.1028,
10.1,0.7,-89.6767,
10.2,0.7,-90.2507,
10.3,0.7,-90.8247,
10.4,0.7,-91.3986,
10.5,0.7,-91.9726,
10.6,0.7,-92.5466,
10.7,0.7,-93.1205,
10.8,0.7,-93.6945,
10.9,0.7,-94.2685,
11,0.7,-94.8425,
11.1,0.7,-95.4164,
11.2,0.7,-95.9904,
11.3,0.7,-96.5644,
11.4,0.7,-97.1383,
11.5,0.7,-97.7123,
11.6,0.7,-98.2863,
11.7,0.7,-98.8602,
11.8,0.7,-99.4342,
11.9,0.7,-100.008,
12,0.7,-100.582,
4.9,0.75,-63.5191,
5,0.75,-64.0931,
5.1,0.75,-64.6671,
5.2,0.75,-65.241,
5.3,0.75,-65.815,
5.4,0.75,-66.389,
5.5,0.75,-66.9629,
5.6,0.75,-67.5369,
5.7,0.75,-68.1109,
5.8,0.75,-68.6848,
5.9,0.75,-69.2588,
6,0.75,-69.8328,
6.1,0.75,-70.4068,
6.2,0.75,-70.9807,
6.3,0.75,-71.5547,
6.4,0.75,-72.1287,
6.5,0.75,-72.7026,
6.6,0.75,-73.2766,
6.7,0.75,-73.8506,
6.8,0.75,-74.4245,
6.9,0.75,-74.9985,
7,0.75,-75.5725,
7.1,0.75,-76.1464,
7.2,0.75,-76.7204,
7.3,0.75,-77.2944,
7.4,0.75,-77.8683,
7.5,0.75,-78.4423,
7.6,0.75,-79.0163,
7.7,0.75,-79.5902,
7.8,0.75,-80.1642,
7.9,0.75,-80.7382,
8,0.75,-81.3121,
8.1,0.75,-81.8861,
8.2,0.75,-82.4601,
8.3,0.75,-83.034,
8.4,0.75,-83.608,
8.5,0.75,-84.182,
8.6,0.75,-84.7559,
8.7,0.75,-85.3299,
8.8,0.75,-85.9039,
8.9,0.75,-86.4778,
9,0.75,-87.0518,
9.1,0.75,-87.6258,
9.2,0.75,-88.1997,
9.3,0.75,-88.7737,
9.4,0.75,-89.3477,
9.5,0.75,-89.9216,
9.6,0.75,-90.4956,
9.7,0.75,-91.0696,
9.8,0.75,-91.6435,
9.9,0.75,-92.2175,
10,0.75,-92.7915,
10.1,0.75,-93.3654,
10.2,0.75,-93.9394,
10.3,0.75,-94.5134,
10.4,0.75,-95.0873,
10.5,0.75,-95.6613,
10.6,0.75,-96.2353,
10.7,0.75,-96.8092,
10.8,0.75,-97.3832,
10.9,0.75,-97.9572,
11,0.75,-98.5311,
11.1,0.75,-99.1051,
11.2,0.75,-99.6791,
11.3,0.75,-100.253,
11.4,0.75,-100.827,
11.5,0.75,-101.401,
11.6,0.75,-101.975,
11.7,0.75,-102.549,
11.8,0.75,-103.123,
11.9,0.75,-103.697,
12,0.75,-104.271,
4.9,0.8,-67.2078,
5,0.8,-67.7818,
5.1,0.8,-68.3558,
5.2,0.8,-68.9297,
5.3,0.8,-69.5037,
5.4,0.8,-70.0777,
5.5,0.8,-70.6516,
5.6,0.8,-71.2256,
5.7,0.8,-71.7996,
5.8,0.8,-72.3735,
5.9,0.8,-72.9475,
6,0.8,-73.5215,
6.1,0.8,-74.0954,
6.2,0.8,-74.6694,
6.3,0.8,-75.2434,
6.4,0.8,-75.8174,
6.5,0.8,-76.3913,
6.6,0.8,-76.9653,
6.7,0.8,-77.5393,
6.8,0.8,-78.1132,
6.9,0.8,-78.6872,
7,0.8,-79.2612,
7.1,0.8,-79.8351,
7.2,0.8,-80.4091,
7.3,0.8,-80.9831,
7.4,0.8,-81.557,
7.5,0.8,-82.131,
7.6,0.8,-82.705,
7.7,0.8,-83.2789,
7.8,0.8,-83.8529,
7.9,0.8,-84.4269,
8,0.8,-85.0008,
8.1,0.8,-85.5748,
8.2,0.8,-86.1488,
8.3,0.8,-86.7227,
8.4,0.8,-87.2967,
8.5,0.8,-87.8707,
8.6,0.8,-88.4446,
8.7,0.8,-89.0186,
8.8,0.8,-89.5926,
8.9,0.8,-90.1665,
9,0.8,-90.7405,
9.1,0.8,-91.3145,
9.2,0.8,-91.8884,
9.3,0.8,-92.4624,
9.4,0.8,-93.0364,
9.5,0.8,-93.6103,
9.6,0.8,-94.1843,
9.7,0.8,-94.7583,
9.8,0.8,-95.3322,
9.9,0.8,-95.9062,
10,0.8,-96.4802,
10.1,0.8,-97.0541,
10.2,0.8,-97.6281,
10.3,0.8,-98.2021,
10.4,0.8,-98.776,
10.5,0.8,-99.35,
10.6,0.8,-99.924,
10.7,0.8,-100.498,
10.8,0.8,-101.072,
10.9,0.8,-101.646,
11,0.8,-102.22,
11.1,0.8,-102.794,
11.2,0.8,-103.368,
11.3,0.8,-103.942,
11.4,0.8,-104.516,
11.5,0.8,-105.09,
11.6,0.8,-105.664,
11.7,0.8,-106.238,
11.8,0.8,-106.812,
11.9,0.8,-107.386,
12,0.8,-107.96,
4.9,0.85,-70.8965,
5,0.85,-71.4705,
5.1,0.85,-72.0445,
5.2,0.85,-72.6184,
5.3,0.85,-73.1924,
5.4,0.85,-73.7664,
5.5,0.85,-74.3403,
5.6,0.85,-74.9143,
5.7,0.85,-75.4883,
5.8,0.85,-76.0622,
5.9,0.85,-76.6362,
6,0.85,-77.2102,
6.1,0.85,-77.7841,
6.2,0.85,-78.3581,
6.3,0.85,-78.9321,
6.4,0.85,-79.506,
6.5,0.85,-80.08,
6.6,0.85,-80.654,
6.7,0.85,-81.228,
6.8,0.85,-81.8019,
6.9,0.85,-82.3759,
7,0.85,-82.9499,
7.1,0.85,-83.5238,
7.2,0.85,-84.0978,
7.3,0.85,-84.6718,
7.4,0.85,-85.2457,
7.5,0.85,-85.8197,
7.6,0.85,-86.3937,
7.7,0.85,-86.9676,
7.8,0.85,-87.5416,
7.9,0.85,-88.1156,
8,0.85,-88.6895,
8.1,0.85,-89.2635,
8.2,0.85,-89.8375,
8.3,0.85,-90.4114,
8.4,0.85,-90.9854,
8.5,0.85,-91.5594,
8.6,0.85,-92.1333,
8.7,0.85,-92.7073,
8.8,0.85,-93.2813,
8.9,0.85,-93.8552,
9,0.85,-94.4292,
9.1,0.85,-95.0032,
9.2,0.85,-95.5771,
9.3,0.85,-96.1511,
9.4,0.85,-96.7251,
9.5,0.85,-97.299,
9.6,0.85,-97.873,
9.7,0.85,-98.447,
9.8,0.85,-99.0209,
9.9,0.85,-99.5949,
10,0.85,-100.169,
10.1,0.85,-100.743,
10.2,0.85,-101.317,
10.3,0.85,-101.891,
10.4,0.85,-102.465,
10.5,0.85,-103.039,
10.6,0.85,-103.613,
10.7,0.85,-104.187,
10.8,0.85,-104.761,
10.9,0.85,-105.335,
11,0.85,-105.909,
11.1,0.85,-106.483,
11.2,0.85,-107.056,
11.3,0.85,-107.63,
11.4,0.85,-108.204,
11.5,0.85,-108.778,
11.6,0.85,-109.352,
11.7,0.85,-109.926,
11.8,0.85,-110.5,
11.9,0.85,-111.074,
12,0.85,-111.648,
4.9,0.9,-74.5852,
5,0.9,-75.1592,
5.1,0.9,-75.7332,
5.2,0.9,-76.3071,
5.3,0.9,-76.8811,
5.4,0.9,-77.4551,
5.5,0.9,-78.029,
5.6,0.9,-78.603,
5.7,0.9,-79.177,
5.8,0.9,-79.7509,
5.9,0.9,-80.3249,
6,0.9,-80.8989,
6.1,0.9,-81.4728,
6.2,0.9,-82.0468,
6.3,0.9,-82.6208,
6.4,0.9,-83.1947,
6.5,0.9,-83.7687,
6.6,0.9,-84.3427,
6.7,0.9,-84.9166,
6.8,0.9,-85.4906,
6.9,0.9,-86.0646,
7,0.9,-86.6386,
7.1,0.9,-87.2125,
7.2,0.9,-87.7865,
7.3,0.9,-88.3605,
7.4,0.9,-88.9344,
7.5,0.9,-89.5084,
7.6,0.9,-90.0824,
7.7,0.9,-90.6563,
7.8,0.9,-91.2303,
7.9,0.9,-91.8043,
8,0.9,-92.3782,
8.1,0.9,-92.9522,
8.2,0.9,-93.5262,
8.3,0.9,-94.1001,
8.4,0.9,-94.6741,
8.5,0.9,-95.2481,
8.6,0.9,-95.822,
8.7,0.9,-96.396,
8.8,0.9,-96.97,
8.9,0.9,-97.5439,
9,0.9,-98.1179,
9.1,0.9,-98.6919,
9.2,0.9,-99.2658,
9.3,0.9,-99.8398,
9.4,0.9,-100.414,
9.5,0.9,-100.988,
9.6,0.9,-101.562,
9.7,0.9,-102.136,
9.8,0.9,-102.71,
9.9,0.9,-103.284,
10,0.9,-103.858,
10.1,0.9,-104.432,
10.2,0.9,-105.006,
10.3,0.9,-105.579,
10.4,0.9,-106.153,
10.5,0.9,-106.727,
10.6,0.9,-107.301,
10.7,0.9,-107.875,
10.8,0.9,-108.449,
10.9,0.9,-109.023,
11,0.9,-109.597,
11.1,0.9,-110.171,
11.2,0.9,-110.745,
11.3,0.9,-111.319,
11.4,0.9,-111.893,
11.5,0.9,-112.467,
11.6,0.9,-113.041,
11.7,0.9,-113.615,
11.8,0.9,-114.189,
11.9,0.9,-114.763,
12,0.9,-115.337,
4.9,0.95,-78.2739,
5,0.95,-78.8479,
5.1,0.95,-79.4219,
5.2,0.95,-79.9958,
5.3,0.95,-80.5698,
5.4,0.95,-81.1438,
5.5,0.95,-81.7177,
5.6,0.95,-82.2917,
5.7,0.95,-82.8657,
5.8,0.95,-83.4396,
5.9,0.95,-84.0136,
6,0.95,-84.5876,
6.1,0.95,-85.1615,
6.2,0.95,-85.7355,
6.3,0.95,-86.3095,
6.4,0.95,-86.8834,
6.5,0.95,-87.4574,
6.6,0.95,-88.0314,
